,CONV,CONV_GRU,GRU,MLP
5,0.8300969604275015,0.8347193099445457,0.8427775733637268,0.7737998401899039
10,0.7877203330206451,0.7920894730736028,0.8040013956677479,0.7197782440642736
15,0.7630481998351398,0.7682350634199333,0.7753761625420432,0.684030798489607
20,0.7294369849932365,0.7389589069884814,0.7488244336612695,0.6443830982500627
