,ETC,MNB,RFC,SVC
5,0.837195362112369,0.8442768399770978,0.8226396722972394,0.8501540287102797
10,0.7865625981013336,0.7922495441729629,0.7685495055470865,0.8052455967956644
15,0.7547350962177898,0.7645593437486621,0.7328288343219553,0.7770236571233262
20,0.7173662657109411,0.7363959676144146,0.6950352573638462,0.7527918559330273
