,ETC,MNB,RFC,SVC
5,0.8356343283582089,0.8439365671641791,0.8206156716417911,0.8497201492537313
10,0.7844014256761479,0.7920190090153051,0.7659514990565378,0.8048780487804879
15,0.7473004694835681,0.7640845070422535,0.7240023474178404,0.7762910798122066
20,0.7049858594322824,0.7335812297056667,0.6809468943123494,0.7502356761286267
