,CONV,CONV_GRU,GRU,MLP
5,0.8297574626865671,0.8346082089552239,0.8423507462686567,0.7708022388059701
10,0.7878957299601649,0.7917394646725837,0.803480327066881,0.7178698721084632
15,0.7617957746478873,0.7681338028169014,0.7745305164319248,0.6788145539906103
20,0.7258301036974966,0.734838169058343,0.7465172305436263,0.6370587619147376
